n,b,Constant
385,"(1, 2, 4, 6, 11, 17, 27, 40, 60, 88, 129)",0.49355
386,"(1, 2, 4, 6, 11, 17, 27, 40, 60, 88, 130)",0.49357
387,"(1, 2, 4, 6, 11, 17, 27, 40, 60, 89, 130)",0.49358
388,"(1, 2, 4, 7, 11, 17, 27, 40, 60, 89, 130)",0.49360
389,"(1, 2, 4, 7, 11, 17, 27, 40, 60, 89, 131)",0.49362
390,"(1, 2, 4, 7, 11, 17, 27, 41, 60, 89, 131)",0.49363
391,"(1, 2, 4, 7, 11, 17, 27, 41, 61, 89, 131)",0.49365
392,"(1, 2, 4, 7, 11, 17, 27, 41, 61, 90, 131)",0.49366
393,"(1, 2, 4, 7, 11, 17, 27, 41, 61, 90, 132)",0.49368
394,"(1, 2, 4, 7, 11, 18, 27, 41, 61, 90, 132)",0.49369
395,"(1, 2, 4, 7, 11, 18, 27, 41, 61, 90, 133)",0.49371
